"","obec","okres","zapsani_volici","ano","vytrollime"
"1","Polnička","Žďár nad Sázavou",655,2.34,4.09
"2","Měňany","Beroun",237,12.5,17.5
"3","Jiříkov","Bruntál",233,0,3.08
"4","Zachotín","Pelhřimov",195,5.26,7.89
"5","Krchleby","Šumperk",149,3.85,7.69
"6","Studené","Ústí nad Orlicí",146,1.96,3.92
"7","Žernov","Semily",144,5.71,14.29
"8","Věstín","Žďár nad Sázavou",141,6.38,8.51
"9","Moldava","Teplice",127,0,1.96
"10","Malínky","Vyškov",114,7.69,10.26
"11","Křešín","Příbram",111,7.14,9.52
"12","Komárovice","Třebíč",96,10,26.67
"13","Hačky","Prostějov",88,8,10
"14","Počaply","Příbram",81,0,6.25
"15","Karlov","Žďár nad Sázavou",80,11.43,14.29
"16","Dvory","Prachatice",76,0,6.67
"17","Řídelov","Jihlava",71,12,20
"18","Zvolenovice","Jihlava",71,0,2.7
"19","Županovice","Příbram",68,0,3.57
"20","Vrážné","Svitavy",55,9.68,12.9
"21","Zdeňkov","Jihlava",49,3.57,7.14
"22","Štítov","Rokycany",47,8.33,12.5
"23","Lužice","Prachatice",39,0,30
"24","Radějovice","Strakonice",35,5.56,16.67
